Geo,low_vlow_13,low_vlow_10,low_vlow_03,ch_low_vlow_10_13,ch_low_vlow_03_13,vlow_13,vlow_10,vlow_03,ch_vlow_10_13,ch_vlow_03_13
US Average,14.6,14.6,11,0,3.6* ,5.7,5.6,3.4,0.1,2.3*
AK,11.8,13.6,11.5,-1.8,0.3,4.5,4.9,4.1,-0.4,0.4
AL,16.7,17.3,12.5,-0.6,4.2* ,7,7,3.2,0,3.8*
AR,21.2,18.6,15.5,2.6,5.7* ,8.4,7.5,4.7,0.9,3.7*
AZ,15.6,15.3,12.3,0.3,3.3* ,6.3,5.9,3.8,0.4,2.5*
CA,15,15.9,12.2,-0.9,2.8* ,5.6,5.8,3.6,-0.2,2.0*
CO,13.9,13.4,9.7,0.5,4.2* ,5.5,5.4,3,0.1,2.5*
CT,13.4,12.7,8,0.7,5.4* ,5,4.8,3,0.2,2.0*
DC,13.4,13,9,0.4,4.4* ,5.2,4.5,2.4,0.7,2.8*
DE,12.9,9.7,6.7,3.2* ,6.2* ,5.1,4,1.8,1.1,3.3*
FL,14.1,16.1,11.7,-2.0* ,2.4* ,5.9,6.6,3.7,-0.7,2.2*
GA,16.6,16.9,12.9,-0.3,3.7* ,6,6.4,3.6,-0.4,2.4*
HI,12.9,13.1,9.9,-0.2,3.0* ,4.7,5,3.3,-0.3,1.4*
IA,11.9,12.1,9.5,-0.2,2.4* ,4.4,4.9,3,-0.5,1.4*
ID,15.1,12.4,13.7,2.7* ,1.4,5.9,4.6,3.9,1.3,2.0*
IL,12.5,12.9,7.9,-0.4,4.6* ,4.4,4.5,2.5,-0.1,1.9*
IN,14.1,13,9.9,1.1,4.2* ,6.1,5.4,3.4,0.7,2.7*
KS,15.2,14.5,11.7,0.7,3.5* ,6,5,4.4,1,1.6*
KY,16.4,15.6,11.2,0.8,5.2* ,6.7,5.7,3.3,1,3.4*
LA,16.5,12.6,12.3,3.9* ,4.2* ,5.5,4,2.6,1.5,2.9*
MA,10.6,10.8,6.2,-0.2,4.4* ,3.9,4.5,2.3,-0.6,1.6*
MD,13.3,12.5,7.7,0.8,5.6* ,4.9,5.1,2.9,-0.2,2.0*
ME,15.1,15.4,9.2,-0.3,5.9* ,7.1,6.8,2.9,0.3,4.2*
MI,13.9,14.7,10.1,-0.8,3.8* ,5.7,5.7,3.4,0,2.3*
MN,10.8,10.3,7.1,0.5,3.7* ,4.4,4.4,2.2,0,2.2*
MO,16.9,15.8,10.4,1.1,6.5* ,8.1,6.6,3.6,1.5* ,4.5*
MS,21.1,19.4,14.9,1.7,6.2* ,7.2,6.9,4,0.3,3.2*
MT,11.8,14.1,12.5,-2.3,-0.7,4.9,5.6,4,-0.7,0.9
NC,17.3,15.7,13.7,1.6,3.6* ,6.3,5.2,4.5,1.1,1.8*
ND,8.7,7.1,6.9,1.6,1.8,3.1,2.7,2,0.4,1.1*
NE,13.8,12.7,10.4,1.1,3.4* ,5.2,5.2,3,0,2.2*
NH,10.2,9.6,6.4,0.6,3.8* ,4.6,4.1,2.1,0.5,2.5*
NJ,11.4,12.1,8.6,-0.7,2.8* ,4.8,4.2,3.1,0.6,1.7*
NM,13.2,15.4,14.8,-2.2,-1.6,5.1,5.6,4.4,-0.5,0.7
NV,16.2,14.7,9.2,1.5,7.0* ,6.9,5.4,3.4,1.5,3.5*
NY,14,12.9,10,1.1,4.0* ,5.2,5.1,3.1,0.1,2.1*
OH,16,16.4,10.9,-0.4,5.1* ,7.2,6.6,3.6,0.6,3.6*
OK,15.5,16.4,14.1,-0.9,1.4,6.7,7.5,5.2,-0.8,1.5*
OR,15.2,13.7,12.9,1.5,2.3* ,6.1,6.1,4.3,0,1.8*
PA,11.9,12.5,9.5,-0.6,2.4* ,4.8,5,2.6,-0.2,2.2*
RI,14.4,14.7,11.1,-0.3,3.3* ,4.6,5.9,3.6,-1.3* ,1.0*
SC,14.1,14.8,13.5,-0.7,0.6,5.3,5,4.9,0.3,0.4
SD,12.6,12.3,8.9,0.3,3.7* ,4.6,5.4,2.4,-0.8,2.2*
TN,17.4,15,10.9,2.4* ,6.5* ,7,6,3.3,1,3.7*
TX,18,18.8,14.9,-0.8,3.1* ,6.3,6.9,4.1,-0.6,2.2*
UT,14.3,13,14.6,1.3,-0.3,4.6,4.8,4.4,-0.2,0.2
VA,9.5,9.6,8.4,-0.1,1.1,3.8,3.3,2.2,0.5,1.6*
VT,13.2,13.8,8.9,-0.6,4.3* ,6.1,6.1,3,0,3.1*
WA,14.3,14.7,11.6,-0.4,2.7* ,5.6,6.1,3.9,-0.5,1.7*
WI,11.6,11.8,9,-0.2,2.6* ,5,4.3,3.2,0.7,1.8*
WV,14.4,14.1,8.9,0.3,5.5* ,5.1,5.3,2.7,-0.2,2.4*
WY,14.6,11.6,10.1,3.0* ,4.5* ,5.5,4.3,4.2,1.2,1.3
